"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Travis Kelce","KC","112.4","1,399.3","10.2","0.8","312.2"
"Darren Waller","LV","100.3","1,144.8","7.1","0.9","255.9"
"George Kittle","SF","96.1","1,201.2","6.5","0.7","254.1"
"Mark Andrews","BAL","70.6","853.9","8.2","0.9","203.1"
"Kyle Pitts","ATL","69.8","843.2","6.4","1.2","190.0"
"T.J. Hockenson","DET","75.4","835.7","5.2","0.8","188.7"
"Logan Thomas","WAS","64.9","666.9","5.3","0.6","161.9"
"Tyler Higbee","LAR","61.0","681.4","5.3","0.6","160.0"
"Noah Fant","DEN","62.2","692.3","4.5","0.7","156.8"
"Dallas Goedert","PHI","61.7","679.7","4.7","0.7","156.2"
"Robert Tonyan","GB","55.6","609.6","6.4","0.1","154.9"
"Mike Gesicki","MIA","55.3","618.6","5.2","0.7","147.3"
"Irv Smith Jr.","MIN","52.6","582.1","5.6","0.7","142.8"
"Jonnu Smith","NE","54.6","570.9","4.7","0.7","138.3"
"Evan Engram","NYG","57.5","583.0","3.6","0.7","136.2"
"Eric Ebron","PIT","55.4","546.3","4.5","0.7","135.6"
"Hunter Henry","NE","53.2","576.6","4.0","0.6","133.3"
"Jared Cook","LAC","46.0","575.9","5.1","0.6","133.0"
"Blake Jarwin","DAL","50.9","574.7","4.2","0.7","132.1"
"Anthony Firkser","TEN","51.0","545.9","4.2","0.1","130.3"
"Adam Trautman","NO","50.5","552.6","4.1","0.7","129.2"
"Rob Gronkowski","TB","41.1","536.8","5.6","0.2","128.0"
"Austin Hooper","CLE","48.7","487.3","4.4","0.6","122.5"
"Zach Ertz","PHI","49.9","507.0","3.5","0.6","120.0"
"Cole Kmet","CHI","48.4","480.9","3.7","1.2","116.3"
"Jordan Akins","HOU","44.4","470.4","2.8","0.1","108.3"
"Gerald Everett","SEA","42.0","432.7","3.9","0.6","107.6"
"Hayden Hurst","ATL","38.5","405.3","2.9","0.1","96.6"
"C.J. Uzomah","CIN","36.8","357.9","3.3","0.1","91.9"
"Dawson Knox","BUF","33.4","384.2","3.5","0.6","91.7"
"Chris Herndon IV","NYJ","35.5","357.2","2.8","1.6","84.7"
"Jack Doyle","IND","32.6","336.6","3.0","0.1","84.1"
"Will Dissly","SEA","30.2","317.5","3.0","0.1","79.8"
"Mo Alie-Cox","IND","31.5","340.6","2.4","0.6","79.1"
"Donald Parham Jr.","LAC","28.0","339.2","2.5","0.1","76.7"
"O.J. Howard","TB","26.7","338.9","2.5","0.7","74.0"
"Dan Arnold","CAR","27.2","342.2","2.3","0.7","73.7"
"Jacob Hollister","BUF","29.1","264.0","2.3","0.6","68.3"
"Tyler Conklin","MIN","25.4","267.1","2.0","0.1","64.1"
"David Njoku","CLE","23.4","252.8","2.6","0.0","64.0"
"Jimmy Graham","CHI","23.2","242.1","2.6","0.1","62.9"
"Stephen Carlson","CLE","20.0","218.0","3.0","0.0","59.8"
"Dalton Schultz","DAL","23.4","243.7","2.0","0.1","59.7"
"Nick Boyle","BAL","23.2","215.8","2.1","0.0","57.2"
"Maxx Williams","ARI","21.3","236.0","2.0","0.1","56.5"
"Drew Sample","CIN","24.6","232.0","1.4","0.6","55.1"
"Kyle Rudolph","NYG","23.1","212.3","1.8","0.1","54.8"
"Geoff Swaim","TEN","22.6","211.3","1.7","0.1","54.0"
"Cameron Brate","TB","22.0","206.1","1.8","0.0","53.1"
"James O'Shaughnessy","JAC","23.2","228.7","1.0","0.1","51.9"
"Darren Fells","DET","18.2","188.5","1.6","0.0","46.5"
"Harrison Bryant","CLE","18.2","196.2","1.8","1.1","46.2"
"Pat Freiermuth","PIT","19.8","178.1","1.3","0.5","44.5"
"Hunter Long","MIA","18.6","175.7","1.3","0.5","42.6"
"Pharaoh Brown","HOU","16.6","178.8","1.3","0.1","42.3"
"Foster Moreau","LV","13.9","152.1","2.1","0.1","41.8"
"Ian Thomas","CAR","17.7","157.2","1.3","0.0","40.9"
"Adam Shaheen","MIA","15.4","157.2","1.8","1.0","39.8"
"Tyler Kroft","NYJ","14.6","148.2","1.7","0.1","39.3"
"Albert Okwuegbunam","DEN","15.4","161.2","1.3","0.1","39.1"
"Ryan Izzo","HOU","12.9","212.9","1.0","1.0","38.2"
"Chris Manhertz","JAC","15.9","158.4","1.0","0.0","37.7"
"Noah Gray","KC","14.4","146.7","1.1","0.5","34.8"
"Matt Sokol","LAC","13.0","140.0","1.0","0.0","33.0"
"Kahale Warring","HOU","13.5","138.5","0.9","0.0","32.5"
"Brevin Jordan","HOU","12.8","131.3","1.2","0.5","32.1"
"Marcedes Lewis","GB","11.5","121.3","1.4","0.0","32.0"
"Kyle Markway","LAR","13.0","130.0","1.0","0.0","32.0"
"Thaddeus Moss","CIN","13.0","121.0","1.0","0.0","31.1"
"Reggie Gilliam","BUF","11.0","77.0","2.0","0.0","30.7"
"Kylen Granson","IND","13.1","136.5","0.7","0.1","30.5"
"Luke Farrell","JAC","13.8","130.0","0.7","0.5","29.9"
"Durham Smythe","MIA","13.1","108.0","1.0","0.0","29.5"
"Brycen Hopkins","LAR","12.5","127.8","0.7","0.1","29.4"
"Juwan Johnson","NO","11.1","127.2","0.9","0.1","29.2"
"Jacob Harris","LAR","10.7","136.9","0.8","0.0","29.0"
"Ryan Griffin","NYJ","11.2","106.5","1.2","0.0","28.8"
"Darrell Daniels","ARI","11.3","121.8","0.9","0.1","28.7"
"Ross Dwelley","SF","11.4","119.8","0.9","0.0","28.5"
"John Bates","WAS","12.4","119.1","0.8","0.5","27.8"
"Hunter Bryant","DET","10.4","122.8","0.8","0.0","27.6"
"Devin Asiasi","NE","10.4","117.0","1.1","0.5","27.5"
"Austin Fort","DEN","10.0","102.0","1.0","0.0","26.2"
"Derek Carrier","LV","10.0","92.0","1.2","0.0","26.1"
"Caleb Wilson","WAS","10.0","97.0","1.0","0.0","25.7"
"Jace Sternberger","GB","9.3","86.0","1.0","0.0","23.9"
"Blake Bell","KC","10.0","94.9","0.7","0.0","23.9"
"Jordan Thomas","IND","8.3","74.0","0.7","0.0","20.2"
"Nick Vannett","NO","7.3","80.1","0.6","0.0","18.7"
"Tommy Tremble","CAR","8.6","85.4","0.4","0.5","18.5"
"Tre' McKitty","LAC","7.7","81.6","0.4","0.0","18.3"
"Evan Baylis","KC","6.9","72.0","0.6","0.0","17.5"
"Jeremy Sprinkle","DAL","6.9","71.4","0.5","0.0","17.1"
"Tommy Sweeney","BUF","6.0","75.5","0.5","0.0","16.7"
"J.P. Holtz","CHI","5.9","73.2","0.5","0.0","16.2"
"Noah Togiai","IND","6.4","60.9","0.5","0.0","15.6"
"Daniel Brown","NYJ","5.4","63.6","0.5","0.0","14.8"
"Zach Gentry","PIT","6.1","54.9","0.5","0.0","14.4"
"Charlie Woerner","SF","5.4","63.8","0.4","0.0","14.4"
"Richard Rodgers","PHI","5.0","65.7","0.5","0.0","14.3"
"Stephen Anderson","LAC","5.3","65.6","0.4","0.0","14.2"
"Jesse James","CHI","6.1","51.3","0.5","0.0","14.1"
"Johnny Mundt","LAR","5.4","57.1","0.5","0.0","13.9"
"Antony Auclair","HOU","4.9","54.5","0.5","0.0","13.4"
"Josh Oliver","BAL","4.3","44.2","0.4","0.0","11.3"
"Colby Parkinson","SEA","4.2","44.0","0.5","0.0","11.3"
"Josiah Deguara","GB","4.3","47.1","0.4","0.1","11.2"
"Ben Ellefson","JAC","4.2","41.9","0.3","0.0","10.4"
"Demetrius Harris","ARI","3.8","39.2","0.4","0.0","10.0"
"Luke Stocker","TEN","3.9","37.8","0.4","0.1","9.7"
"Alize Mack","DET","4.1","39.4","0.2","0.0","9.2"
"Mason Schreck","CIN","3.5","36.4","0.3","0.0","8.7"
"Tyree Jackson","PHI","3.5","36.2","0.2","0.0","8.4"
"Dominique Dafney","GB","2.4","25.7","0.2","0.0","6.3"
"Lee Smith","ATL","2.6","25.0","0.2","0.0","6.2"
"Sean McKeon","DAL","2.6","26.7","0.2","0.0","6.1"
"Cethan Carter","MIA","2.5","24.2","0.1","0.0","5.6"
"Jordan Franks","CLE","2.1","23.5","0.2","0.0","5.5"
"Trevon Wesco","NYJ","2.3","24.3","0.1","0.0","5.4"
"Kaden Smith","NYG","2.5","22.1","0.1","0.0","5.4"
"Eric Saubert","DEN","2.3","22.7","0.1","0.0","5.4"
"Ricky Seals-Jones","WAS","1.5","18.3","0.2","0.0","4.3"
"Zach Davidson","MIN","1.7","17.6","0.1","0.0","4.3"
"Tanner Hudson","TB","1.5","15.7","0.2","0.0","3.9"
"Temarrick Hemingway","WAS","1.4","16.1","0.1","0.0","3.5"
"Brandon Dillon","MIN","1.3","13.8","0.1","0.0","3.3"
"Matt LaCosse","NE","1.2","12.8","0.1","0.0","2.8"
"Eric Tomlinson","BAL","1.2","11.7","0.1","0.0","2.8"
"Codey McElroy","TB","0.9","8.6","0.1","0.0","2.3"
"Kevin Rader","PIT","0.9","8.7","0.0","0.0","2.0"
"Isaac Nauta","GB","0.8","8.3","0.1","0.0","2.0"
"Tyrone Swoopes","WAS","0.9","9.6","0.0","0.0","1.8"
"Garrett Griffin","NO","0.8","8.8","0.0","0.0","1.8"
"Hakeem Butler","PHI","0.8","8.4","0.0","0.0","1.7"
"Jason Croom","PHI","0.8","8.5","0.0","0.0","1.7"
"Jesper Horsted","CHI","0.8","8.3","0.0","0.0","1.7"
"Deon Yelder","TEN","0.8","7.3","0.0","0.0","1.7"
"MyCole Pruitt","SF","0.8","8.2","0.0","0.0","1.6"
"Cole Hikutini","NYG","0.8","7.2","0.0","0.0","1.5"
"Colin Thompson","CAR","0.7","6.8","0.0","0.0","1.4"
""
""